Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,302184.26,38104.43,403000.00,191,0,98,0,194,0,94,0,14,0.6245888471688503,864
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,20092288.66,1608989.12,6130500.00,8642,0,6920,0,5864,0,2346,0,169,0.7346729851539128,25212
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,71493451.47,4890933.24,13931750.00,15859,0,4173,0,25132,0,5596,0,301,0.8014759577389499,57012
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,376345.71,21102246.90,86006400.00,7547,1228,0,3932,0,8959,0,4255,571,0.8230223950612006,50892
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,17337187.17,8738037.29,88920000.00,8799,0,3582,0,9763,0,3886,0,564,0.8315184678760309,49224
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,711929.95,20752395.15,92699100.00,7327,1162,0,4017,0,8841,0,4067,552,0.804001095057759,49128
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,440490.39,23330544.73,96218000.00,7383,1222,0,3729,0,8803,0,3973,564,0.7986520328942048,48516
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,869983.71,18668237.82,98958300.00,6916,1019,0,3819,0,8357,0,3763,560,0.8008150964547905,47592
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,952219.31,17888111.68,105613200.00,3893,4199,0,3535,0,7920,0,4073,551,0.8027108860897951,48324
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,143239551.39,0.00,0,21775,0,6847,0,33656,0,4560,46,1.7474096176678326,20916
